county,year,total_population,white_alone,black_alone,asian_alone,hispanic
"Fulton County, NY",1995,55217,53997,871,259,597
"Fulton County, NY",1996,55388,53949,1081,271,766
"Fulton County, NY",1997,55102,53686,1055,275,794
"Fulton County, NY",1998,54971,53514,1082,287,839
"Fulton County, NY",1999,55011,53482,1141,301,813
"Fulton County, NY",2000,54976,53109,1036,303,884
"Fulton County, NY",2001,54904,53006,1032,318,955
"Fulton County, NY",2002,54988,53058,1019,335,990
"Fulton County, NY",2003,55081,53057,1073,327,1034
"Fulton County, NY",2004,55233,53193,1086,337,1060
"Fulton County, NY",2005,55301,53179,1122,329,1132
"Fulton County, NY",2006,55328,53182,1080,348,1187
"Fulton County, NY",2007,55489,53301,1101,351,1228
"Fulton County, NY",2008,55584,53323,1134,332,1288
"Fulton County, NY",2009,55558,53273,1139,331,1260
"Fulton County, NY",2010,55455,53177,1106,327,1276
"Fulton County, NY",2011,55112,52883,1019,334,1333
"Fulton County, NY",2012,54845,52519,1072,336,1426
"Fulton County, NY",2013,54345,52057,1024,348,1444
"Fulton County, NY",2014,53932,51627,1024,350,1461
"Fulton County, NY",2015,53801,51402,1109,341,1488
"Fulton County, NY",2016,53610,51162,1123,352,1562
"Fulton County, NY",2017,53802,51265,1188,374,1659
"Fulton County, NY",2018,53633,51048,1214,384,1739
"Fulton County, NY",2019,53383,50769,1198,382,1861
"Genesee County, NY",1990,60167,58207,1085,208,434
"Genesee County, NY",1991,60529,58567,1099,209,458
"Genesee County, NY",1992,60856,58846,1148,225,488
"Genesee County, NY",1993,61164,59093,1204,242,527
"Genesee County, NY",1994,61282,59185,1241,252,557
"Genesee County, NY",1995,61105,58993,1263,260,604
"Genesee County, NY",1996,61288,59143,1287,283,646
"Genesee County, NY",1997,61216,58973,1383,303,709
"Genesee County, NY",1998,60877,58608,1427,306,757
"Genesee County, NY",1999,60554,58239,1467,325,774
"Genesee County, NY",2000,60539,57770,1391,318,905
"Genesee County, NY",2001,60321,57478,1404,340,980
"Genesee County, NY",2002,60289,57377,1438,325,1049
"Genesee County, NY",2003,60412,57380,1467,337,1139
"Genesee County, NY",2004,60224,57106,1500,331,1204
"Genesee County, NY",2005,60068,56843,1550,355,1251
"Genesee County, NY",2006,59919,56532,1601,373,1340
"Genesee County, NY",2007,59930,56517,1608,363,1415
"Genesee County, NY",2008,59895,56340,1654,348,1506
"Genesee County, NY",2009,59932,56280,1666,367,1592
"Genesee County, NY",2010,59928,56188,1687,368,1626
"Genesee County, NY",2011,59880,56027,1760,378,1672
"Genesee County, NY",2012,59672,55801,1726,390,1702
"Genesee County, NY",2013,59112,55262,1712,381,1732
"Genesee County, NY",2014,58725,54882,1701,388,1725
"Genesee County, NY",2015,58462,54569,1715,377,1804
"Genesee County, NY",2016,58013,54059,1788,388,1841
"Genesee County, NY",2017,57798,53807,1779,388,1934
"Genesee County, NY",2018,57487,53449,1822,379,1963
"Genesee County, NY",2019,57280,53204,1825,381,1989
"Greene County, NY",1990,44847,42188,2362,185,1449
"Greene County, NY",1991,45298,42596,2397,193,1498
"Greene County, NY",1992,46243,43239,2690,201,1660
"Greene County, NY",1993,46716,43663,2710,217,1687
"Greene County, NY",1994,47000,43967,2670,225,1698
"Greene County, NY",1995,47187,44147,2665,234,1717
"Greene County, NY",1996,47170,44035,2751,243,1798
"Greene County, NY",1997,47346,44231,2728,245,1827
"Greene County, NY",1998,47771,44512,2865,253,1924
"Greene County, NY",1999,47975,44661,2892,266,1981
"Greene County, NY",2000,47986,44264,2808,271,2071
"Greene County, NY",2001,47976,44230,2801,296,2125
"Greene County, NY",2002,48177,44394,2813,303,2143
"Greene County, NY",2003,48416,44597,2796,318,2195
"Greene County, NY",2004,48755,44877,2801,334,2286
"Greene County, NY",2005,49142,45099,2896,369,2329
"Greene County, NY",2006,49513,45424,2903,376,2420
"Greene County, NY",2007,49537,45374,2929,389,2439
"Greene County, NY",2008,49467,45242,2941,395,2461
"Greene County, NY",2009,49372,45046,2993,404,2495
"Greene County, NY",2010,49139,44833,2949,399,2419
"Greene County, NY",2011,48857,44519,2916,431,2468
"Greene County, NY",2012,48587,44140,2988,457,2509
"Greene County, NY",2013,48308,43857,2975,454,2531
"Greene County, NY",2014,47964,43413,3007,485,2633
"Greene County, NY",2015,47616,43023,2965,511,2699
"Greene County, NY",2016,47494,42813,2970,530,2751
"Greene County, NY",2017,47442,42718,2958,570,2762
"Greene County, NY",2018,47381,42595,2963,595,2854
"Greene County, NY",2019,47188,42377,2890,622,2954
"Hamilton County, NY",1990,5292,5276,9,2,26
"Hamilton County, NY",1991,5362,5348,7,2,26
"Hamilton County, NY",1992,5366,5352,7,2,24
"Hamilton County, NY",1993,5318,5305,7,2,25
"Hamilton County, NY",1994,5279,5265,8,2,26
"Hamilton County, NY",1995,5245,5230,10,2,27
"Hamilton County, NY",1996,5354,5341,8,2,28
"Hamilton County, NY",1997,5274,5261,8,2,28
"Hamilton County, NY",1998,5296,5283,8,2,28
"Hamilton County, NY",1999,5325,5310,9,2,32
"Hamilton County, NY",2000,5377,5292,27,8,57
"Hamilton County, NY",2001,5312,5226,28,8,57
"Hamilton County, NY",2002,5232,5145,28,8,57
"Hamilton County, NY",2003,5181,5083,31,13,55
"Hamilton County, NY",2004,5158,5061,32,11,56
"Hamilton County, NY",2005,5093,4991,30,20,54
"Hamilton County, NY",2006,4987,4875,31,20,52
"Hamilton County, NY",2007,4969,4857,31,19,53
"Hamilton County, NY",2008,4893,4772,34,24,52
"Hamilton County, NY",2009,4858,4733,35,24,51
"Hamilton County, NY",2010,4851,4725,35,24,51
"Hamilton County, NY",2011,4826,4690,40,24,51
"Hamilton County, NY",2012,4803,4663,39,26,59
"Hamilton County, NY",2013,4766,4623,41,26,60
"Hamilton County, NY",2014,4700,4558,41,25,64
"Hamilton County, NY",2015,4699,4553,39,27,66
"Hamilton County, NY",2016,4556,4407,43,28,67
"Hamilton County, NY",2017,4471,4316,44,33,72
"Hamilton County, NY",2018,4432,4263,45,35,79
"Hamilton County, NY",2019,4416,4248,47,34,87
"Herkimer County, NY",1990,65883,65425,220,132,388
"Herkimer County, NY",1991,66344,65880,224,138,374
"Herkimer County, NY",1992,66602,66119,226,150,381
"Herkimer County, NY",1993,66926,66367,284,168,398
"Herkimer County, NY",1994,67038,66459,285,181,432
"Herkimer County, NY",1995,66711,66105,300,195,437
"Herkimer County, NY",1996,66454,65818,315,204,460
"Herkimer County, NY",1997,65818,65184,280,230,502
"Herkimer County, NY",1998,64909,64221,327,243,475
"Herkimer County, NY",1999,64462,63721,358,259,488
"Herkimer County, NY",2000,64451,63292,344,272,580
"Herkimer County, NY",2001,64274,63051,398,260,681
"Herkimer County, NY",2002,63971,62674,431,271,732
"Herkimer County, NY",2003,64080,62652,503,290,765
"Herkimer County, NY",2004,64332,62823,525,312,817
"Herkimer County, NY",2005,64292,62664,594,323,895
"Herkimer County, NY",2006,64029,62354,610,325,920
"Herkimer County, NY",2007,64343,62605,643,329,980
"Herkimer County, NY",2008,64404,62568,680,333,990
"Herkimer County, NY",2009,64381,62492,714,334,1020
"Herkimer County, NY",2010,64470,62506,726,336,1058
"Herkimer County, NY",2011,64386,62419,705,326,1116
"Herkimer County, NY",2012,64227,62227,732,318,1157
"Herkimer County, NY",2013,63883,61821,744,327,1204
"Herkimer County, NY",2014,63384,61322,724,331,1233
"Herkimer County, NY",2015,62652,60524,795,330,1244
"Herkimer County, NY",2016,62436,60252,809,335,1302
"Herkimer County, NY",2017,62163,59867,877,338,1367
"Herkimer County, NY",2018,61713,59348,894,353,1377
"Herkimer County, NY",2019,61319,58879,931,359,1414
"Jefferson County, NY",1990,111549,103116,6979,1003,3138
"Jefferson County, NY",1991,112911,104491,6886,1067,3213
"Jefferson County, NY",1992,114463,105790,7063,1113,3369
"Jefferson County, NY",1993,114874,105783,7436,1136,3712
"Jefferson County, NY",1994,116932,107444,7774,1182,3996
"Jefferson County, NY",1995,115361,106001,7615,1199,4059
"Jefferson County, NY",1996,114585,105195,7587,1234,4195
"Jefferson County, NY",1997,113055,103751,7470,1250,4297
"Jefferson County, NY",1998,112546,103175,7476,1280,4387
"Jefferson County, NY",1999,112081,102690,7434,1310,4504
"Jefferson County, NY",2000,111790,101393,6949,1064,4692
"Jefferson County, NY",2001,111422,100826,7057,1079,5018
"Jefferson County, NY",2002,111112,100124,7287,1104,5141
"Jefferson County, NY",2003,110246,99546,6778,1160,5242
"Jefferson County, NY",2004,109924,99338,6542,1170,5315
"Jefferson County, NY",2005,113486,102062,6943,1348,5823
"Jefferson County, NY",2006,113650,102152,6873,1370,5809
"Jefferson County, NY",2007,115059,103362,6906,1430,6035
"Jefferson County, NY",2008,115033,103484,6641,1442,6033
"Jefferson County, NY",2009,115023,103708,6151,1481,5982
"Jefferson County, NY",2010,116592,104862,6186,1629,6319
"Jefferson County, NY",2011,117752,105531,6364,1667,7102
"Jefferson County, NY",2012,120235,106789,7264,1774,8170
"Jefferson County, NY",2013,118490,104717,7517,1823,8268
"Jefferson County, NY",2014,117971,104104,7637,1807,8537
"Jefferson County, NY",2015,116371,102199,7832,1809,8398
"Jefferson County, NY",2016,112980,99161,7656,1795,8152
"Jefferson County, NY",2017,113157,99105,7804,1853,8596
"Jefferson County, NY",2018,111866,97897,7776,1864,8736
"Jefferson County, NY",2019,109834,96096,7465,1891,8561
"Kings County, NY",1990,2303679,1252919,925053,116639,463857
"Kings County, NY",1991,2312518,1246593,931034,125408,465676
"Kings County, NY",1992,2327759,1244618,938801,134290,468658
"Kings County, NY",1993,2347687,1246665,947680,142583,474234
"Kings County, NY",1994,2361668,1245179,954978,150105,477667
"Kings County, NY",1995,2372611,1243101,959660,157800,480143
"Kings County, NY",1996,2383703,1241197,962715,167057,481001
"Kings County, NY",1997,2401148,1242976,968197,176535,483623
"Kings County, NY",1998,2422434,1247295,974665,186372,484998
"Kings County, NY",1999,2447352,1254816,980848,196817,486709
"Kings County, NY",2000,2467006,1248136,971344,197997,491961
"Kings County, NY",2001,2477252,1250840,967894,206002,493308
"Kings County, NY",2002,2480559,1247802,964201,213298,494479
"Kings County, NY",2003,2472999,1238490,957624,218888,491573
"Kings County, NY",2004,2459094,1227892,946705,223884,487908
"Kings County, NY",2005,2445809,1217250,936287,229155,484127
"Kings County, NY",2006,2436132,1209825,924971,235428,481343
"Kings County, NY",2007,2441324,1213214,914957,243674,481209
"Kings County, NY",2008,2460361,1222145,911414,253173,484668
"Kings County, NY",2009,2487751,1234966,911996,262755,491339
"Kings County, NY",2010,2509828,1242187,915069,271170,496702
"Kings County, NY",2011,2540817,1257352,918294,281362,501910
"Kings County, NY",2012,2568450,1271573,918753,291915,503771
"Kings County, NY",2013,2587684,1281204,917127,300966,504135
"Kings County, NY",2014,2601513,1288860,912930,309725,503446
"Kings County, NY",2015,2608794,1293497,906103,317523,501317
"Kings County, NY",2016,2608423,1294075,897087,324004,498752
"Kings County, NY",2017,2594676,1288944,885503,325978,493584
"Kings County, NY",2018,2578074,1283375,874192,325140,488828
"Lewis County, NY",1990,26872,26631,106,83,113
"Lewis County, NY",1991,27043,26781,134,76,108
"Lewis County, NY",1992,27165,26920,125,70,112
"Lewis County, NY",1993,27158,26917,123,68,117
"Lewis County, NY",1994,27319,27084,117,70,119
"Lewis County, NY",1995,27364,27134,108,72,124
"Lewis County, NY",1996,27357,27118,101,78,127
"Lewis County, NY",1997,27251,27022,100,73,137
"Lewis County, NY",1998,27072,26833,108,74,136
"Lewis County, NY",1999,26914,26683,98,68,143
"Lewis County, NY",2000,26989,26604,116,64,172
"Lewis County, NY",2001,26951,26546,137,64,217
"Lewis County, NY",2002,26618,26192,149,65,226
"Lewis County, NY",2003,26692,26254,154,63,251
"Lewis County, NY",2004,26661,26206,160,63,264
"Lewis County, NY",2005,26773,26283,184,77,305
"Lewis County, NY",2006,27001,26491,176,77,335
"Lewis County, NY",2007,27086,26556,190,78,338
"Lewis County, NY",2008,26878,26326,202,73,321
"Lewis County, NY",2009,27047,26491,196,77,355
"Lewis County, NY",2010,27077,26508,200,80,374
"Lewis County, NY",2011,27027,26390,215,84,382
"Lewis County, NY",2012,27196,26521,220,89,432
"Lewis County, NY",2013,27098,26400,228,98,430
"Lewis County, NY",2014,27089,26385,223,105,440
"Lewis County, NY",2015,26827,26106,223,96,444
"Lewis County, NY",2016,26647,25925,231,97,442
"Lewis County, NY",2017,26605,25860,225,100,489
"Lewis County, NY",2018,26486,25760,207,103,470
"Lewis County, NY",2019,26296,25583,189,105,463
"Livingston County, NY",1990,62477,60417,1555,324,947
"Livingston County, NY",1991,62631,60585,1535,334,950
"Livingston County, NY",1992,63512,61136,1834,368,1116
"Livingston County, NY",1993,63773,61350,1871,384,1147
"Livingston County, NY",1994,64015,61569,1859,416,1176
"Livingston County, NY",1995,64146,61668,1869,432,1186
"Livingston County, NY",1996,64146,61559,1955,454,1248
"Livingston County, NY",1997,64217,61587,1975,481,1298
"Livingston County, NY",1998,63948,61255,2013,495,1328
"Livingston County, NY",1999,64243,61462,2065,523,1384
"Livingston County, NY",2000,64705,61413,2001,519,1458
"Livingston County, NY",2001,65088,61657,2047,580,1537
"Livingston County, NY",2002,65118,61739,1968,593,1518
"Livingston County, NY",2003,65130,61727,1918,631,1540
"Livingston County, NY",2004,65484,62098,1873,645,1586
"Livingston County, NY",2005,65322,61929,1825,669,1568
"Livingston County, NY",2006,65357,61921,1805,707,1671
"Livingston County, NY",2007,65460,61945,1801,744,1713
"Livingston County, NY",2008,65637,62089,1789,761,1747
"Livingston County, NY",2009,65420,61870,1712,795,1789
"Livingston County, NY",2010,65240,61620,1706,814,1817
"Livingston County, NY",2011,64849,61228,1678,825,1911
"Livingston County, NY",2012,64796,60989,1821,830,1995
"Livingston County, NY",2013,64627,60755,1826,874,2084
"Livingston County, NY",2014,64585,60608,1887,885,2143
"Livingston County, NY",2015,64344,60307,1885,871,2221
"Livingston County, NY",2016,64000,59948,1873,870,2251
"Livingston County, NY",2017,63483,59477,1835,850,2319
"Livingston County, NY",2018,63213,59172,1849,850,2395
"Livingston County, NY",2019,62914,58827,1859,860,2451
"Madison County, NY",1990,69300,67853,788,405,557
"Madison County, NY",1991,70021,68520,817,423,562
"Madison County, NY",1992,70660,69106,842,439,591
"Madison County, NY",1993,70585,68978,883,443,601
"Madison County, NY",1994,70488,68871,893,436,606
"Madison County, NY",1995,70182,68562,902,426,613
"Madison County, NY",1996,70151,68468,946,419,638
"Madison County, NY",1997,69554,67860,926,430,662
"Madison County, NY",1998,69464,67720,972,420,663
"Madison County, NY",1999,69523,67757,989,426,669
"Madison County, NY",2000,69450,67246,959,392,735
"Madison County, NY",2001,69852,67468,1030,427,854
"Madison County, NY",2002,70261,67745,1089,448,904
"Madison County, NY",2003,71010,68358,1143,480,970
"Madison County, NY",2004,71397,68655,1187,477,1011
"Madison County, NY",2005,71471,68672,1182,490,1098
"Madison County, NY",2006,72042,69039,1265,530,1157
"Madison County, NY",2007,72709,69619,1305,530,1224
"Madison County, NY",2008,73075,69850,1344,559,1298
"Madison County, NY",2009,73169,69799,1377,574,1328
"Madison County, NY",2010,73440,70020,1405,581,1338
"Madison County, NY",2011,72887,69501,1350,588,1381
"Madison County, NY",2012,72414,69043,1322,590,1410
"Madison County, NY",2013,72457,69017,1330,588,1435
"Madison County, NY",2014,72210,68722,1361,592,1457
"Madison County, NY",2015,71636,68170,1293,605,1483
"Madison County, NY",2016,71387,67836,1338,610,1535
"Madison County, NY",2017,70942,67282,1380,649,1546
"Madison County, NY",2018,71117,67400,1381,662,1633
"Madison County, NY",2019,70941,67118,1436,693,1654
"Monroe County, NY",1990,715825,613168,87520,13020,26792
"Monroe County, NY",1991,721362,614584,90633,13978,28151
"Monroe County, NY",1992,729060,617964,93944,14930,29698
"Monroe County, NY",1993,733968,619341,96679,15658,31206
"Monroe County, NY",1994,734382,616980,98857,16223,32456
"Monroe County, NY",1995,733643,613815,100704,16748,33690
"Monroe County, NY",1996,734257,611859,102565,17409,34816
"Monroe County, NY",1997,734394,609636,104283,18010,35998
"Monroe County, NY",1998,734076,607275,105737,18551,36996
"Monroe County, NY",1999,733679,604881,107139,19117,38084
"Monroe County, NY",2000,738979,602055,106692,18627,39753
"Monroe County, NY",2001,739891,600912,107675,19042,40722
"Monroe County, NY",2002,741391,599689,108975,19787,41879
"Monroe County, NY",2003,741671,597418,110161,20472,43210
"Monroe County, NY",2004,741075,594508,111087,21181,44357
"Monroe County, NY",2005,738506,590077,111697,21730,45446
"Monroe County, NY",2006,738329,587488,112678,22411,46607
"Monroe County, NY",2007,739249,585617,113942,23003,48274
"Monroe County, NY",2008,741018,584440,115414,23527,50148
"Monroe County, NY",2009,743386,583333,117179,24192,52540
"Monroe County, NY",2010,744580,581843,118266,24955,54304
"Monroe County, NY",2011,746751,582534,118737,25342,56130
"Monroe County, NY",2012,747344,581728,119367,25682,57729
"Monroe County, NY",2013,748290,581251,119902,26008,59331
"Monroe County, NY",2014,747364,579046,120308,26304,60518
"Monroe County, NY",2015,745577,576600,120284,26590,61811
"Monroe County, NY",2016,743770,574219,120315,26735,63536
"Monroe County, NY",2017,742724,572371,120259,27062,65204
"Monroe County, NY",2018,742864,571642,120457,27185,67242
"Monroe County, NY",2019,741770,569934,120501,27359,68088
"Montgomery County, NY",1990,52036,51236,499,213,2709
"Montgomery County, NY",1991,51896,51087,518,207,2780
"Montgomery County, NY",1992,51928,51089,537,220,2895
"Montgomery County, NY",1993,51807,50928,562,235,2974
"Montgomery County, NY",1994,51752,50801,629,240,3060
"Montgomery County, NY",1995,51649,50638,681,245,3149
"Montgomery County, NY",1996,51305,50272,695,251,3199
"Montgomery County, NY",1997,50798,49716,733,260,3263
"Montgomery County, NY",1998,50321,49216,741,272,3305
"Montgomery County, NY",1999,49918,48797,756,271,3348
"Montgomery County, NY",2000,49605,48146,689,274,3457
"Montgomery County, NY",2001,49472,47851,769,322,3653
"Montgomery County, NY",2002,49298,47594,807,308,3826
"Montgomery County, NY",2003,49449,47631,841,342,3959
"Montgomery County, NY",2004,49460,47526,903,333,4207
"Montgomery County, NY",2005,49505,47488,909,348,4432
"Montgomery County, NY",2006,49724,47555,976,350,4778
"Montgomery County, NY",2007,49798,47516,1060,345,5072
"Montgomery County, NY",2008,49951,47568,1050,385,5329
"Montgomery County, NY",2009,50001,47538,1068,390,5538
"Montgomery County, NY",2010,50307,47719,1132,402,5671
"Montgomery County, NY",2011,49911,47280,1160,390,5807
"Montgomery County, NY",2012,49829,47091,1229,387,5906
"Montgomery County, NY",2013,49743,46916,1261,385,6077
"Montgomery County, NY",2014,49679,46770,1289,403,6287
"Montgomery County, NY",2015,49564,46522,1364,414,6502
"Montgomery County, NY",2016,49169,46043,1429,405,6631
"Montgomery County, NY",2017,49163,45938,1501,419,6923
"Montgomery County, NY",2018,49394,46063,1543,438,7289
"Montgomery County, NY",2019,49221,45751,1601,455,7404
"Nassau County, NY",1990,1286905,1130718,114284,40189,78708
"Nassau County, NY",1991,1293072,1129462,118246,43512,83751
"Nassau County, NY",1992,1299575,1128801,122071,46732,88886
"Nassau County, NY",1993,1304543,1127284,125561,49571,94407
"Nassau County, NY",1994,1308489,1125027,129013,52153,99948
"Nassau County, NY",1995,1312950,1123218,132493,54784,105568
"Nassau County, NY",1996,1315799,1120096,135380,57718,110960
"Nassau County, NY",1997,1318211,1116741,138226,60447,116700
"Nassau County, NY",1998,1322950,1115513,141189,63262,122404
"Nassau County, NY",1999,1330815,1117264,144183,66202,128529
"Nassau County, NY",2000,1336713,1112020,143118,66224,135089
"Nassau County, NY",2001,1337086,1105354,144909,70218,140775
"Nassau County, NY",2002,1339572,1100632,146757,74440,146584
"Nassau County, NY",2003,1339761,1094234,148056,78686,152431
"Nassau County, NY",2004,1337964,1085959,149026,82950,158150
"Nassau County, NY",2005,1332318,1074533,149505,87351,163463
"Nassau County, NY",2006,1324905,1061737,150137,91098,168871
"Nassau County, NY",2007,1322048,1053709,150790,94566,174753
"Nassau County, NY",2008,1325129,1049739,152616,98571,181674
"Nassau County, NY",2009,1332088,1048607,155361,102551,189319
"Nassau County, NY",2010,1341669,1049078,158635,107036,196772
"Nassau County, NY",2011,1346223,1047012,161288,110076,201728
"Nassau County, NY",2012,1349616,1043904,163976,112864,206680
"Nassau County, NY",2013,1352193,1039842,166337,116158,211659
"Nassau County, NY",2014,1354705,1035277,168340,120202,216601
"Nassau County, NY",2015,1354840,1028818,170225,124000,220901
"Nassau County, NY",2016,1355952,1022186,171838,129085,225508
"Nassau County, NY",2017,1357293,1014602,173640,135006,229416
"Nassau County, NY",2018,1357534,1005779,175365,141321,233351
"Nassau County, NY",2019,1356924,995821,177429,147601,237225
"New York County, NY",1990,1487073,990410,376111,113988,387561
"New York County, NY",1991,1483644,986600,370733,119304,388572
"New York County, NY",1992,1485877,987407,366722,124252,390600
"New York County, NY",1993,1493582,992491,364277,128734,395785
"New York County, NY",1994,1503909,999742,362751,132676,401286
"New York County, NY",1995,1514184,1007213,360848,136743,406847
"New York County, NY",1996,1521415,1013161,357063,141220,409961
"New York County, NY",1997,1527384,1018350,353202,145238,413418
"New York County, NY",1998,1531067,1022650,348336,148880,414853
"New York County, NY",1999,1535624,1027738,343553,152493,416780
"New York County, NY",2000,1540547,1017236,329680,150250,421230
"New York County, NY",2001,1555729,1029580,326394,154245,421438
"New York County, NY",2002,1555382,1028561,321582,157499,421233
"New York County, NY",2003,1562154,1033011,317998,161137,420037
"New York County, NY",2004,1569947,1037583,315104,164926,417155
"New York County, NY",2005,1573573,1038981,311326,168642,414387
"New York County, NY",2006,1578171,1039893,308478,172850,411677
"New York County, NY",2007,1581402,1040318,304321,177016,408421
"New York County, NY",2008,1587022,1042517,300658,181035,408147
"New York County, NY",2009,1583431,1039049,295139,183161,403350
"New York County, NY",2010,1588767,1040310,294747,185093,404966
"New York County, NY",2011,1608293,1050693,297405,190052,411671
"New York County, NY",2012,1623911,1059042,298603,194191,418454
"New York County, NY",2013,1627491,1060333,298647,195201,421262
"New York County, NY",2014,1630678,1060697,297376,198194,422848
"New York County, NY",2015,1636063,1060514,297332,202449,425034
"New York County, NY",2016,1635443,1058149,295860,204955,424555
"New York County, NY",2017,1630698,1053985,293113,206522,421737
"New York County, NY",2018,1629055,1052656,291440,207367,419617
"New York City County, NY",2019,8336817,4393042,2294698,1256584,2423590
"Niagara County, NY",1990,221163,206094,12244,803,2088
"Niagara County, NY",1991,221712,206202,12575,887,2175
"Niagara County, NY",1992,221952,206068,12867,945,2255
"Niagara County, NY",1993,222993,206655,13174,1018,2340
"Niagara County, NY",1994,223400,206689,13441,1077,2437
"Niagara County, NY",1995,223958,206867,13739,1134,2518
"Niagara County, NY",1996,223792,206408,13938,1217,2595
"Niagara County, NY",1997,223135,205477,14113,1269,2659
"Niagara County, NY",1998,221884,204062,14196,1335,2718
"Niagara County, NY",1999,220556,202571,14285,1409,2786
"Niagara County, NY",2000,219620,200137,13759,1303,2924
"Niagara County, NY",2001,218552,198711,13813,1388,3132
"Niagara County, NY",2002,218127,197928,13859,1479,3301
"Niagara County, NY",2003,218072,197400,14022,1564,3440
"Niagara County, NY",2004,217737,196731,14081,1637,3656
"Niagara County, NY",2005,216818,195335,14277,1648,3772
"Niagara County, NY",2006,216148,194245,14410,1671,3987
"Niagara County, NY",2007,215791,193471,14519,1749,4201
"Niagara County, NY",2008,215793,193081,14578,1784,4380
"Niagara County, NY",2009,216043,192777,14892,1829,4607
"Niagara County, NY",2010,216475,192711,15038,1891,4726
"Niagara County, NY",2011,215719,191807,14967,1987,4933
"Niagara County, NY",2012,214713,190586,14914,2058,5029
"Niagara County, NY",2013,214105,189731,14953,2124,5303
"Niagara County, NY",2014,213305,188660,15041,2191,5573
"Niagara County, NY",2015,212358,187509,15072,2166,5817
"Niagara County, NY",2016,211554,186308,15346,2191,6086
"Niagara County, NY",2017,210848,185252,15460,2238,6296
"Niagara County, NY",2018,210060,184338,15484,2280,6645
"Niagara County, NY",2019,209281,183207,15549,2378,6970
"Oneida County, NY",1990,251191,234455,14007,2220,5797
"Oneida County, NY",1991,253064,235541,14633,2360,6190
"Oneida County, NY",1992,253819,235911,14864,2494,6396
"Oneida County, NY",1993,252682,234617,14921,2576,6521
"Oneida County, NY",1994,250964,232864,14871,2655,6672
"Oneida County, NY",1995,244736,226685,14816,2664,6735
"Oneida County, NY",1996,239246,221313,14642,2717,6815
"Oneida County, NY",1997,236863,219005,14490,2787,6900
"Oneida County, NY",1998,235710,217580,14672,2852,7157
"Oneida County, NY",1999,235412,217132,14708,2950,7324
"Oneida County, NY",2000,235146,215286,14186,2894,7610
"Oneida County, NY",2001,234247,213979,14104,3206,7826
"Oneida County, NY",2002,234078,213350,14091,3471,8044
"Oneida County, NY",2003,234243,212755,14245,3850,8414
"Oneida County, NY",2004,234654,212384,14465,4231,8668
"Oneida County, NY",2005,234282,211373,14520,4538,9036
"Oneida County, NY",2006,234229,210635,14666,4869,9531
"Oneida County, NY",2007,234488,209894,15002,5310,9943
"Oneida County, NY",2008,234482,209059,15162,5718,10306
"Oneida County, NY",2009,234619,208255,15324,6205,10575
"Oneida County, NY",2010,234756,207503,15459,6768,10902
"Oneida County, NY",2011,234218,206276,15482,7187,11249
"Oneida County, NY",2012,233765,205183,15462,7652,11488
"Oneida County, NY",2013,233347,204129,15529,8105,11814
"Oneida County, NY",2014,232598,202731,15679,8532,12076
"Oneida County, NY",2015,231264,201114,15670,8722,12375
"Oneida County, NY",2016,230375,199528,15881,9064,12772
"Oneida County, NY",2017,230011,198647,16078,9234,13248
"Oneida County, NY",2018,229474,197700,16239,9340,13904
"Oneida County, NY",2019,228671,196567,16291,9488,14083
"Onondaga County, NY",1990,469903,420969,38643,6976,7259
"Onondaga County, NY",1991,472463,421358,40137,7519,7718
"Onondaga County, NY",1992,473971,420958,41407,7997,8111
"Onondaga County, NY",1993,474922,420231,42549,8388,8576
"Onondaga County, NY",1994,472692,416756,43400,8651,8970
"Onondaga County, NY",1995,470235,413092,44226,8927,9348
"Onondaga County, NY",1996,466614,408523,44774,9245,9702
"Onondaga County, NY",1997,462438,403489,45239,9503,10056
"Onondaga County, NY",1998,459882,399981,45786,9787,10382
"Onondaga County, NY",1999,458575,397695,46343,10081,10807
"Onondaga County, NY",2000,458034,392153,44525,9900,11309
"Onondaga County, NY",2001,458576,391141,45187,10387,12127
"Onondaga County, NY",2002,459484,390425,45953,10974,12725
"Onondaga County, NY",2003,460961,390141,46737,11479,13423
"Onondaga County, NY",2004,461412,388918,47398,12040,14036
"Onondaga County, NY",2005,460910,386655,48200,12492,14670
"Onondaga County, NY",2006,460925,384846,49084,12910,15582
"Onondaga County, NY",2007,461287,383319,50049,13364,16291
"Onondaga County, NY",2008,463472,383240,51388,13742,17418
"Onondaga County, NY",2009,465633,383276,52412,14202,18260
"Onondaga County, NY",2010,467533,383335,53202,14747,18953
"Onondaga County, NY",2011,467614,382364,53393,15153,19649
"Onondaga County, NY",2012,467030,380714,53669,15614,20145
"Onondaga County, NY",2013,468146,380313,54139,16227,20765
"Onondaga County, NY",2014,467285,378187,54518,16787,21261
"Onondaga County, NY",2015,466277,376260,54659,17266,21655
"Onondaga County, NY",2016,464109,373532,54717,17462,22196
"Onondaga County, NY",2017,461795,370804,54783,17455,22625
"Onondaga County, NY",2018,461649,369959,54985,17606,23390
"Onondaga County, NY",2019,460528,368250,55314,17748,23802
"Ontario County, NY",1990,95352,92855,1772,499,1258
"Ontario County, NY",1991,96514,93870,1886,539,1352
"Ontario County, NY",1992,97623,94871,1949,581,1431
"Ontario County, NY",1993,98327,95449,2033,619,1520
"Ontario County, NY",1994,98509,95550,2097,640,1603
"Ontario County, NY",1995,98816,95768,2167,655,1684
